nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,aba_elapsed,ranking_elapsed,num_edges_est,best_model,best_I
3,1.0,0.0,0.5,0.0,0.0,,4.0,16.0,cancer,3199,5,0.14286494255065918,1.2094342708587646,True,original,arrows_sum,0.0795755386352539,0.0002009868621826172,3,"frozenset({(1, 0), (4, 0), (0, 3)})",1.5021853253834114
3,1.0,0.0,0.5,0.0,0.0,,4.0,16.0,cancer,3199,5,0.14286494255065918,1.2094342708587646,True,original,arrows_mean,0.0795755386352539,0.00018167495727539062,3,"frozenset({(1, 0), (4, 0), (0, 3)})",0.5007284417944705
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,3199,5,0.14286494255065918,1.2094342708587646,True,refined_indep_facts,original,0.019542455673217773,0.00976419448852539,1,"frozenset({(4, 0)})",3.6431158847494465
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,3199,5,0.14286494255065918,1.2094342708587646,True,refined_indep_facts,refined_indep_facts,0.019542455673217773,0.0063323974609375,1,"frozenset({(3, 0)})",3.883895248091832
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,3199,5,0.14286494255065918,1.2094342708587646,True,refined_indep_facts,arrows_sum,0.019542455673217773,0.00047898292541503906,1,"frozenset({(3, 0)})",0.5022002027377759
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,3199,5,0.14286494255065918,1.2094342708587646,True,refined_indep_facts,arrows_mean,0.019542455673217773,0.00047469139099121094,1,"frozenset({(3, 0)})",0.5022002027377759
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,316,5,0.14286494255065918,1.2060503959655762,True,original,original,0.1902000904083252,0.05968523025512695,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",20.602028429515425
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,316,5,0.14286494255065918,1.2060503959655762,True,original,refined_indep_facts,0.1902000904083252,0.024715662002563477,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",2.3397142368121706
6,0.6667,0.5,0.6667,0.3333,0.5,0.4,4.0,8.0,cancer,316,5,0.14286494255065918,1.2060503959655762,True,original,arrows_sum,0.1902000904083252,0.02596735954284668,6,"frozenset({(2, 4), (4, 0), (3, 1), (2, 0), (3, 0), (1, 0)})",3.012723851463814
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,316,5,0.14286494255065918,1.2060503959655762,True,original,arrows_mean,0.1902000904083252,0.0013632774353027344,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",0.5030347722269641
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,316,5,0.14286494255065918,1.2060503959655762,True,refined_indep_facts,original,0.020319700241088867,0.01804327964782715,1,"frozenset({(3, 0)})",-2.450064707036298
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,316,5,0.14286494255065918,1.2060503959655762,True,refined_indep_facts,refined_indep_facts,0.020319700241088867,0.009051799774169922,1,"frozenset({(3, 0)})",4.405059354928695
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,316,5,0.14286494255065918,1.2060503959655762,True,refined_indep_facts,arrows_sum,0.020319700241088867,0.0005764961242675781,1,"frozenset({(4, 0)})",0.5030353052048211
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,316,5,0.14286494255065918,1.2060503959655762,True,refined_indep_facts,arrows_mean,0.020319700241088867,0.0005576610565185547,1,"frozenset({(4, 0)})",0.5030353052048211
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,8266,5,0.14286494255065918,1.198854684829712,True,original,original,0.23000216484069824,0.08163046836853027,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",20.683273840009477
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,8266,5,0.14286494255065918,1.198854684829712,True,original,refined_indep_facts,0.23000216484069824,0.04117226600646973,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",2.2731832636850307
6,0.6667,0.5,0.6667,0.3333,0.5,0.4,4.0,8.0,cancer,8266,5,0.14286494255065918,1.198854684829712,True,original,arrows_sum,0.23000216484069824,0.0019116401672363281,6,"frozenset({(4, 0), (3, 1), (2, 0), (3, 0), (1, 0), (4, 1)})",3.0128945249079084
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,8266,5,0.14286494255065918,1.198854684829712,True,original,arrows_mean,0.23000216484069824,0.0016644001007080078,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",0.5030164928379786
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,8266,5,0.14286494255065918,1.198854684829712,True,refined_indep_facts,original,0.017977237701416016,0.017806529998779297,1,"frozenset({(3, 0)})",-2.9151734100219273
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,8266,5,0.14286494255065918,1.198854684829712,True,refined_indep_facts,refined_indep_facts,0.017977237701416016,0.008593320846557617,1,"frozenset({(3, 0)})",4.388149788107249
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,8266,5,0.14286494255065918,1.198854684829712,True,refined_indep_facts,arrows_sum,0.017977237701416016,0.0005552768707275391,1,"frozenset({(3, 0)})",0.5030179631432696
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,8266,5,0.14286494255065918,1.198854684829712,True,refined_indep_facts,arrows_mean,0.017977237701416016,0.0005371570587158203,1,"frozenset({(3, 0)})",0.5030179631432696
3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,cancer,1532,5,0.14286494255065918,1.1940217018127441,True,original,original,0.13701844215393066,0.016359806060791016,3,"frozenset({(1, 0), (0, 4), (3, 0)})",11.765436872922546
3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,cancer,1532,5,0.14286494255065918,1.1940217018127441,True,original,refined_indep_facts,0.13701844215393066,0.00841832160949707,3,"frozenset({(1, 0), (0, 4), (3, 0)})",2.6343496614459427
5,0.4,0.75,0.3333,0.6,0.75,0.6667,2.0,5.0,cancer,1532,5,0.14286494255065918,1.1940217018127441,True,original,arrows_sum,0.13701844215393066,0.0009191036224365234,5,"frozenset({(0, 4), (2, 0), (3, 0), (1, 0), (3, 2)})",2.5007962063659184
4,0.5,0.5,0.3333,0.5,0.5,0.5,3.0,6.0,cancer,1532,5,0.14286494255065918,1.1940217018127441,True,original,arrows_mean,0.13701844215393066,0.0005795955657958984,4,"frozenset({(1, 0), (3, 2), (0, 4), (3, 0)})",0.500425699021009
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,1532,5,0.14286494255065918,1.1940217018127441,True,refined_indep_facts,original,0.017101526260375977,0.009495019912719727,1,"frozenset({(4, 0)})",3.167752278329086
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,1532,5,0.14286494255065918,1.1940217018127441,True,refined_indep_facts,refined_indep_facts,0.017101526260375977,0.0063724517822265625,1,"frozenset({(3, 0)})",3.730408382502521
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,1532,5,0.14286494255065918,1.1940217018127441,True,refined_indep_facts,arrows_sum,0.017101526260375977,0.0004901885986328125,1,"frozenset({(3, 0)})",0.5008732794105304
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,1532,5,0.14286494255065918,1.1940217018127441,True,refined_indep_facts,arrows_mean,0.017101526260375977,0.00045490264892578125,1,"frozenset({(3, 0)})",0.5008732794105304
4,0.75,0.25,0.5,0.25,0.25,0.25,3.0,15.0,cancer,1009,5,0.14286494255065918,1.199376106262207,True,original,original,0.16549062728881836,0.004485607147216797,4,"frozenset({(1, 0), (4, 0), (2, 0), (0, 3)})",20.88336932567718
4,0.75,0.25,0.5,0.25,0.25,0.25,3.0,15.0,cancer,1009,5,0.14286494255065918,1.199376106262207,True,original,refined_indep_facts,0.16549062728881836,0.0012700557708740234,4,"frozenset({(1, 0), (4, 0), (2, 0), (0, 3)})",2.453723347357044
4,0.75,0.25,0.5,0.25,0.25,0.25,3.0,15.0,cancer,1009,5,0.14286494255065918,1.199376106262207,True,original,arrows_sum,0.16549062728881836,0.00020074844360351562,4,"frozenset({(1, 0), (4, 0), (2, 0), (0, 3)})",2.006147966322988
4,0.75,0.25,0.5,0.25,0.25,0.25,3.0,15.0,cancer,1009,5,0.14286494255065918,1.199376106262207,True,original,arrows_mean,0.16549062728881836,0.00018453598022460938,4,"frozenset({(1, 0), (4, 0), (2, 0), (0, 3)})",0.501536991580747
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,1009,5,0.14286494255065918,1.199376106262207,True,refined_indep_facts,original,0.019858360290527344,0.018117427825927734,1,"frozenset({(3, 0)})",-1.9890451243573564
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,1009,5,0.14286494255065918,1.199376106262207,True,refined_indep_facts,refined_indep_facts,0.019858360290527344,0.008718729019165039,1,"frozenset({(3, 0)})",4.693129903541966
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,1009,5,0.14286494255065918,1.199376106262207,True,refined_indep_facts,arrows_sum,0.019858360290527344,0.0005819797515869141,1,"frozenset({(4, 0)})",0.5030771075630044
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,1009,5,0.14286494255065918,1.199376106262207,True,refined_indep_facts,arrows_mean,0.019858360290527344,0.0005495548248291016,1,"frozenset({(4, 0)})",0.5030771075630044
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,2250,5,0.14286494255065918,1.2022042274475098,True,original,original,0.3240182399749756,1.80014967918396,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",20.13720470085548
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,2250,5,0.14286494255065918,1.2022042274475098,True,original,refined_indep_facts,0.3240182399749756,0.8123583793640137,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",2.1082468625179764
9,0.6667,0.75,1.0,0.3333,0.75,0.4615,6.0,4.0,cancer,2250,5,0.14286494255065918,1.2022042274475098,True,original,arrows_sum,0.3240182399749756,0.040982961654663086,9,"frozenset({(0, 1), (0, 4), (2, 1), (3, 1), (4, 2), (3, 0), (0, 2), (3, 2), (4, 1)})",4.49402360807854
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,2250,5,0.14286494255065918,1.2022042274475098,True,original,arrows_mean,0.3240182399749756,0.18214631080627441,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",0.5014753584865062
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2250,5,0.14286494255065918,1.2022042274475098,True,refined_indep_facts,original,0.022127151489257812,0.0175626277923584,1,"frozenset({(3, 0)})",-3.4710242857989764
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2250,5,0.14286494255065918,1.2022042274475098,True,refined_indep_facts,refined_indep_facts,0.022127151489257812,0.008193492889404297,1,"frozenset({(3, 0)})",4.185365147154799
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2250,5,0.14286494255065918,1.2022042274475098,True,refined_indep_facts,arrows_sum,0.022127151489257812,0.0005638599395751953,1,"frozenset({(3, 0)})",0.5029509497071305
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2250,5,0.14286494255065918,1.2022042274475098,True,refined_indep_facts,arrows_mean,0.022127151489257812,0.0005600452423095703,1,"frozenset({(3, 0)})",0.5029509497071305
