dataset,model,seed,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high
sachs,FGS,2656,0.15491032600402832,16,0.8125,0.1765,0.3421,0.125,0.1176,0.1212,26.0,43.0,51.0
sachs,FGS,2688,0.14944863319396973,16,0.8125,0.1765,0.3421,0.125,0.1176,0.1212,26.0,43.0,51.0
sachs,FGS,2494,0.153825044631958,17,0.6471,0.3529,0.2895,0.1765,0.1765,0.1765,21.0,36.0,49.0
sachs,FGS,183,0.14210295677185059,12,0.9167,0.0588,0.2895,0.0833,0.0588,0.069,25.0,50.0,50.0
sachs,FGS,7977,0.1807875633239746,16,0.6875,0.2941,0.2895,0.1875,0.1765,0.1818,23.0,39.0,50.0
sachs,FGS,3199,0.1480119228363037,14,0.8571,0.1176,0.3158,0.0714,0.0588,0.0645,25.0,47.0,55.0
sachs,FGS,316,0.15229535102844238,16,0.6875,0.2941,0.2895,0.1875,0.1765,0.1818,23.0,39.0,50.0
sachs,FGS,8266,0.15237760543823242,17,0.8235,0.1765,0.3684,0.1176,0.1176,0.1176,27.0,43.0,51.0
sachs,FGS,1532,0.15050721168518066,15,0.7333,0.2353,0.2895,0.1333,0.1176,0.125,23.0,41.0,52.0
sachs,FGS,1009,0.149550199508667,16,0.8125,0.1765,0.3421,0.125,0.1176,0.1212,26.0,43.0,51.0
sachs,FGS,2250,0.1479356288909912,15,0.8,0.1765,0.3158,0.1333,0.1176,0.125,25.0,42.0,45.0
sachs,FGS,4447,0.14818978309631348,15,0.7333,0.2353,0.2895,0.2,0.1765,0.1875,24.0,40.0,43.0
sachs,FGS,2415,0.1939530372619629,19,0.6842,0.3529,0.3421,0.1053,0.1176,0.1111,22.0,40.0,51.0
sachs,FGS,3595,0.14910650253295898,16,0.6875,0.2941,0.2895,0.125,0.1176,0.1212,22.0,33.0,45.0
sachs,FGS,4187,0.14885520935058594,15,0.7333,0.2353,0.2895,0.1333,0.1176,0.125,23.0,41.0,52.0
sachs,FGS,4135,0.15378856658935547,17,0.7647,0.2353,0.3421,0.1765,0.1765,0.1765,26.0,41.0,49.0
sachs,FGS,5174,0.1638638973236084,15,0.7333,0.2353,0.2895,0.1333,0.1176,0.125,23.0,41.0,52.0
sachs,FGS,5303,0.15563106536865234,18,0.9444,0.0588,0.4474,0.0,0.0,,30.0,51.0,55.0
sachs,FGS,3942,0.15198874473571777,16,0.8125,0.1765,0.3421,0.125,0.1176,0.1212,26.0,43.0,51.0
sachs,FGS,2778,0.17739272117614746,15,0.8,0.1765,0.3158,0.1333,0.1176,0.125,25.0,44.0,47.0
sachs,FGS,2804,0.15407824516296387,17,0.7647,0.2353,0.3421,0.1765,0.1765,0.1765,25.0,46.0,49.0
sachs,FGS,2145,0.15657830238342285,15,0.7333,0.2353,0.2895,0.2,0.1765,0.1875,24.0,40.0,43.0
sachs,FGS,150,0.14836597442626953,14,0.7143,0.2353,0.2632,0.1429,0.1176,0.129,22.0,42.0,53.0
sachs,FGS,8823,0.15219807624816895,16,0.75,0.2353,0.3158,0.1875,0.1765,0.1818,25.0,40.0,43.0
sachs,FGS,4669,0.15308594703674316,17,0.7647,0.2353,0.3421,0.1765,0.1765,0.1765,26.0,40.0,43.0
sachs,FGS,6131,0.15847563743591309,13,0.8462,0.1176,0.2895,0.1538,0.1176,0.1333,25.0,45.0,45.0
