dataset,num_nodes,num_edges,impl,run_id,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high
cancer,5,4,org,11,0.52840643201489,8,5,0.6,0.5,0.5,0.4,0.5,0.4444,4.0,9.0,5,0.4,0.75,0.3333,0.4,0.5,0.4444,4.0,4.0,15.0
cancer,5,4,org,12,0.5393022580537945,7,5,1.0,0.0,0.8333,0.0,0.0,,5.0,19.0,5,0.6,0.5,0.5,0.0,0.0,,5.0,10.0,19.0
cancer,5,4,org,13,0.587234104052186,9,4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0
cancer,5,4,org,14,0.25533691607415676,7,4,0.5,0.5,0.3333,0.5,0.5,0.5,3.0,5.0,4,0.5,0.5,0.3333,0.5,0.5,0.5,3.0,5.0,10.0
cancer,5,4,org,15,0.5000949939712882,8,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0
cancer,5,4,org,16,0.116428702021949,4,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,11.0
cancer,5,4,org,17,0.5282879859441891,8,4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0
cancer,5,4,org,18,0.6173858899855986,13,5,1.0,0.0,0.8333,0.0,0.0,,5.0,19.0,5,0.6,0.5,0.5,0.0,0.0,,5.0,10.0,19.0
cancer,5,4,org,19,0.6439575609983876,9,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0
cancer,5,4,org,20,0.5759354931069538,9,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0
cancer,5,4,org,21,0.6383172179339454,8,4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0
cancer,5,4,org,22,0.09762146405410022,4,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,5,4,org,23,0.33226030704099685,5,5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,14.0,5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,9.0,14.0
cancer,5,4,org,24,0.6246241990011185,15,5,1.0,0.0,0.8333,0.0,0.0,,5.0,19.0,5,0.6,0.5,0.5,0.0,0.0,,5.0,10.0,19.0
cancer,5,4,org,25,0.12817948299925774,5,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,5,4,org,26,0.8236463679932058,11,4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0
cancer,5,4,org,27,0.05535225791390985,2,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,5,4,org,28,1.110890589072369,9,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0
cancer,5,4,org,29,0.7557651619426906,8,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0
