dataset,alpha,method,seed,version,removed_fact_count,kept_fact_count,removed_true_count,removed_false_count,kept_true_count,kept_false_count,removed_true_indep_count,removed_false_indep_count,removed_true_dep_count,removed_false_dep_count,kept_true_indep_count,kept_false_indep_count,kept_true_dep_count,kept_false_dep_count,released_block_pair_count,released_wrong_block_pair_count,released_correct_block_pair_count,remaining_wrong_block_pair_count,effective_wrong_block_pair_count,dag_F1,dag_SHD,dag_SID,cpdag_F1,cpdag_SHD,cpdag_SID_low,cpdag_SID_high,elapsed_sec,remove_n,fully_released_pair_count_reported,block_edge_mode
cancer,alpha001,ABAPC (bb-nor),8266,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_alpha001,11,33,5,6,33,0,5,6,0,0,1,0,32,0,5,0,5,0,0,0.25,3.0,15.0,0.25,3.0,10.0,15.0,0.19252562522888184,11,5,frozen_initial
earthquake,alpha005,ABAPC (nor),183,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,8,48,6,2,48,0,5,0,1,2,1,0,47,0,5,0,5,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.07469058036804199,8,0,
earthquake,alpha005,ABAPC (nor),316,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,0,58,0,0,57,1,0,0,0,0,9,0,48,1,0,0,0,0,0,0.8889,1.0,0.0,0.8889,1.0,0.0,9.0,0.3280799388885498,0,0,
earthquake,alpha005,ABAPC (nor),2494,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,5,54,4,1,54,0,4,0,0,1,4,0,50,0,2,0,2,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.06928300857543945,5,0,
earthquake,alpha005,ABAPC (nor),2656,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,3,56,1,2,56,0,1,1,0,1,7,0,49,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0674591064453125,3,0,
earthquake,alpha005,ABAPC (nor),2688,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,0,58,0,0,57,1,0,0,0,0,9,0,48,1,0,0,0,0,0,0.8889,1.0,0.0,0.8889,1.0,0.0,9.0,0.6868984699249268,0,0,
earthquake,alpha005,ABAPC (nor),3199,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,2,57,2,0,56,1,2,0,0,0,6,0,50,1,0,0,0,0,0,0.8889,1.0,0.0,0.8889,1.0,0.0,14.0,0.06613588333129883,2,0,
earthquake,alpha005,ABAPC (nor),3578,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0574798583984375,0,0,
earthquake,alpha005,ABAPC (nor),7816,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.06788992881774902,0,0,
earthquake,alpha005,ABAPC (nor),7977,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.06015181541442871,0,0,
