dataset,num_nodes,num_edges,impl,seed,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1,prior_filename,prior_forbidden_length,prior_forbidden_Precision,prior_forbidden_Recall,prior_forbidden_F1,prior_required_length,prior_required_Precision,prior_required_Recall,prior_required_F1
asia,8,8,org,4125,0.297650882974267,152,5.0,0.2,0.5,0.05,0.8,0.5,0.6154,4.0,21.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9760801912760644,1.0,0.0211267605633802,0.0413793103448275,asia,,,,,,,,
asia,8,8,org,3094,0.2515420140698552,124,5.0,0.5,0.3125,0.125,0.5,0.3125,0.3846,5.5,33.0,5.0,0.0,0.625,0.0,0.2,0.125,0.1538,6.0,22.0,37.0,0.970237909878326,1.0,0.0263157894736842,0.0512820512820512,asia,,,,,,,,
asia,8,8,org,6398,0.3152517792768776,152,6.0,0.6667,0.25,0.2,0.3333,0.25,0.2857,7.0,36.0,6.0,0.3333,0.5,0.1,0.3333,0.25,0.2857,7.0,21.0,36.0,0.9674197749484528,1.0,0.0285714285714285,0.0555555555555555,asia,,,,,,,,
asia,8,8,new,7816,0.2650180049240589,137,5.0,0.0,0.625,0.0,1.0,0.625,0.7692,3.0,14.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9715343178921664,1.0,0.0232558139534883,0.0454545454545454,asia,20.0,1.0,0.4166666667,0.5882352941,9.0,0.4444444444,0.5,0.4705882353
asia,8,8,new,3578,0.2435992080718279,131,5.0,0.0,0.625,0.0,1.0,0.625,0.7692,3.0,14.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9751088465006924,1.0,0.0245901639344262,0.048,asia,20.0,1.0,0.4166666667,0.5882352941,9.0,0.4444444444,0.5,0.4705882353
asia,8,8,new,2656,0.2827557092532515,154,5.0,0.0,0.625,0.0,1.0,0.625,0.7692,3.0,14.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9778476574151512,1.0,0.0212765957446808,0.0416666666666666,asia,20.0,1.0,0.4166666667,0.5882352941,9.0,0.4444444444,0.5,0.4705882353
asia,8,8,new,2688,0.2471611150540411,131,5.0,0.0,0.625,0.0,1.0,0.625,0.7692,3.0,14.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.974327183384578,1.0,0.024793388429752,0.0483870967741935,asia,20.0,1.0,0.4166666667,0.5882352941,9.0,0.4444444444,0.5,0.4705882353
asia,8,8,new,2494,0.2534301341511309,137,5.0,0.0,0.625,0.0,1.0,0.625,0.7692,3.0,14.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9725753142927356,1.0,0.0234375,0.0458015267175572,asia,20.0,1.0,0.4166666667,0.5882352941,9.0,0.4444444444,0.5,0.4705882353
asia,8,8,new,183,0.283326359000057,146,5.0,0.0,0.625,0.0,1.0,0.625,0.7692,3.0,14.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9738907369153766,1.0,0.0289855072463768,0.056338028169014,asia,20.0,1.0,0.4166666667,0.5882352941,9.0,0.4444444444,0.5,0.4705882353
asia,8,8,new,7977,0.2852940829470753,147,6.0,0.0,0.75,0.0,1.0,0.75,0.8571,2.0,13.0,6.0,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,13.0,28.0,0.974617931803113,1.0,0.028169014084507,0.0547945205479452,asia,20.0,1.0,0.4166666667,0.5882352941,9.0,0.4444444444,0.5,0.4705882353
asia,8,8,new,3199,0.2992186802439391,156,6.0,0.0,0.75,0.0,1.0,0.75,0.8571,2.0,13.0,6.0,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,13.0,28.0,0.9787014775164188,1.0,0.027027027027027,0.0526315789473684,asia,20.0,1.0,0.4166666667,0.5882352941,9.0,0.4444444444,0.5,0.4705882353
asia,8,8,new,316,0.2345418250188231,122,5.0,0.0,0.625,0.0,1.0,0.625,0.7692,3.0,14.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9679662933107962,1.0,0.0181818181818181,0.0357142857142857,asia,20.0,1.0,0.4166666667,0.5882352941,9.0,0.4444444444,0.5,0.4705882353
asia,8,8,new,8266,0.2653976590372622,137,5.0,0.0,0.625,0.0,1.0,0.625,0.7692,3.0,14.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9739595239131816,1.0,0.0234375,0.0458015267175572,asia,20.0,1.0,0.4166666667,0.5882352941,9.0,0.4444444444,0.5,0.4705882353
asia,8,8,new,1532,0.2464866368100047,131,5.0,0.0,0.625,0.0,1.0,0.625,0.7692,3.0,14.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.974349323952413,1.0,0.0245901639344262,0.048,asia,20.0,1.0,0.4166666667,0.5882352941,9.0,0.4444444444,0.5,0.4705882353
asia,8,8,new,1009,0.2676733760163188,142,6.0,0.0,0.75,0.0,1.0,0.75,0.8571,2.0,13.0,6.0,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,13.0,28.0,0.9751396451517708,1.0,0.0225563909774436,0.0441176470588235,asia,20.0,1.0,0.4166666667,0.5882352941,9.0,0.4444444444,0.5,0.4705882353
asia,8,8,new,2250,0.2854109029285609,141,6.0,0.0,0.75,0.0,1.0,0.75,0.8571,2.0,13.0,6.0,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,13.0,28.0,0.9735676345236852,1.0,0.0291970802919708,0.0567375886524822,asia,20.0,1.0,0.4166666667,0.5882352941,9.0,0.4444444444,0.5,0.4705882353
asia,8,8,new,4447,0.2735685049556196,141,6.0,0.0,0.75,0.0,1.0,0.75,0.8571,2.0,13.0,6.0,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,13.0,28.0,0.9759763014410408,1.0,0.0296296296296296,0.0575539568345323,asia,20.0,1.0,0.4166666667,0.5882352941,9.0,0.4444444444,0.5,0.4705882353
asia,8,8,new,2415,0.306447871029377,158,6.0,0.0,0.75,0.0,1.0,0.75,0.8571,2.0,13.0,6.0,0.0,0.75,0.0,0.6667,0.5,0.5714,3.0,13.0,28.0,0.9768136524384636,1.0,0.0273972602739726,0.0533333333333333,asia,20.0,1.0,0.4166666667,0.5882352941,9.0,0.4444444444,0.5,0.4705882353
asia,8,8,new,3595,0.2601975351572037,137,5.0,0.0,0.625,0.0,1.0,0.625,0.7692,3.0,14.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9745745447959278,1.0,0.0236220472440944,0.0461538461538461,asia,20.0,1.0,0.4166666667,0.5882352941,9.0,0.4444444444,0.5,0.4705882353
