n_nodes,n_edges,model,seed,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high
6,6,FGS,3533,0.10360550880432129,2,1.0,0.0,0.2222,0.0,0.0,,8.0,12.0,12.0
6,6,FGS,4125,0.10510635375976562,3,0.3333,0.3333,0.1111,0.6667,0.3333,0.4444,5.0,6.0,6.0
6,6,FGS,3094,0.10988926887512207,5,0.6,0.3333,0.3333,0.0,0.0,,7.0,7.0,19.0
6,6,FGS,6398,0.1378002166748047,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,8.0,13.0,19.0
7,7,FGS,7816,0.11710906028747559,6,0.5,0.4286,0.2143,0.5,0.4286,0.4615,10.0,15.0,23.0
7,7,FGS,3578,0.1137542724609375,5,0.6,0.2857,0.2143,0.4,0.2857,0.3333,8.0,14.0,14.0
7,7,FGS,2656,0.1169431209564209,6,0.5,0.4286,0.2143,0.5,0.4286,0.4615,9.0,10.0,20.0
7,7,FGS,2688,0.1181480884552002,7,0.8571,0.1429,0.4286,0.1429,0.1429,0.1429,12.0,16.0,16.0
7,7,FGS,2494,0.11423659324645996,5,0.6,0.2857,0.2143,0.2,0.1429,0.1667,9.0,11.0,19.0
7,7,FGS,183,0.11645889282226562,7,1.0,0.0,0.5,0.0,0.0,,13.0,20.0,27.0
7,7,FGS,7977,0.11296248435974121,5,0.6,0.2857,0.2143,0.2,0.1429,0.1667,10.0,19.0,30.0
7,7,FGS,3199,0.11406636238098145,6,0.6667,0.2857,0.2857,0.3333,0.2857,0.3077,9.0,11.0,17.0
7,7,FGS,316,0.11730146408081055,6,1.0,0.0,0.4286,0.0,0.0,,13.0,27.0,31.0
7,7,FGS,8266,0.1186668872833252,6,1.0,0.0,0.4286,0.0,0.0,,13.0,21.0,25.0
7,7,FGS,1532,0.11838102340698242,7,0.8571,0.1429,0.4286,0.1429,0.1429,0.1429,12.0,23.0,24.0
7,7,FGS,1009,0.14945554733276367,8,0.5,0.5714,0.2857,0.125,0.1429,0.1333,9.0,19.0,38.0
7,7,FGS,2250,0.11630082130432129,6,0.6667,0.2857,0.2857,0.1667,0.1429,0.1538,9.0,14.0,25.0
7,7,FGS,4447,0.11395430564880371,6,0.6667,0.2857,0.2857,0.3333,0.2857,0.3077,9.0,15.0,20.0
7,7,FGS,2415,0.11368012428283691,5,0.6,0.2857,0.2143,0.4,0.2857,0.3333,8.0,18.0,24.0
